RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
102001,0,United States,country,,1251.119547638672,1257.6789148574521,1266.2426569633692,1276.54839680589,1286.1916450889717,1295.144808002163,1301.2523234678058,1304.7959736938112,1305.559615446245,1305.5109566404649,1305.8479264718487,1307.5191174292713,1311.3967136819506,1317.0558418991584,1323.8372538130434,1334.2622080666872,1344.3239113780908,1353.2231672024488,1355.7700915535218,1356.150387729717,1354.45683208555,1352.1199128784717,1350.0416346601855,1348.8854045501278,1355.756054707755,1365.7881633924044,1379.4817951448238,1389.9418003684473,1399.7675012040684,1407.5186595227303,1412.159145185152,1413.8785598212182,1415.1463200156472,1414.8650925413604,1416.1087877036275,1417.4306158055297,1422.8377439692038,1430.5626368861535,1441.751326891683,1452.719028087914,1462.2453108659176,1469.6286990660803,1474.2960011776365,1476.8027444241318,1477.2927389487477,1478.071943880506,1480.1918046084775,1483.476083901128,1488.6121193976805,1496.3492937618048,1507.4474101655578,1518.886374706956,1529.069853775247,1536.6609292345174,1541.4087318971847,1543.9765692814299,1545.0757272200963,1546.1011434304646,1547.545012345345,1549.4148898380126,1554.9976419340792,1563.6949044264527,1573.5062489548463,1578.6986373248337,1584.7556518188082,1592.765767519098,1606.1968225848648,1618.2432666919874,1629.6529592832885,1638.7992134346584,1647.5761351381946,1655.2476745734095,1666.0039176733053,1679.265129486294,1697.1801859636,1718.7842766107883,1742.9811608455439,1768.017371450767,1790.3647359107417,1812.9555868852408,1831.587195989362,1846.2908941792014,1857.772976756388,1869.955082176713,1884.946401909936,1903.6233077941,1924.4544367493813,1947.0201373309442,1967.4433881207524,1986.8383641497455,2002.583994818114,2014.9547324939656,2020.6886535381173,2024.5503428371194,2024.0517612846327,2028.5355068667318,2033.9949784657595,2045.161361672441,2058.359518276904,2074.3660120749414,2087.2302279353135,2097.1838232910836,2106.0520090735045,2115.4777912352506,2121.493814967545,2122.4083942665125,2120.9237098050635,2121.7175176015644
394913,1,"New York, NY",msa,NY,2276.4551210406507,2298.266128042914,2315.545294188539,2335.7094085012845,2342.4449096107032,2359.428074986158,2364.5473307219713,2365.728689442918,2360.6547986658074,2355.215793966669,2359.283271235494,2367.647983485492,2382.8136990531043,2393.679608728511,2405.4472707357286,2422.003553068489,2439.186250779335,2445.2187607325886,2447.452569079436,2439.7369207376078,2434.177349177124,2437.6339807215713,2448.7435820925607,2448.307992767153,2460.8711764311106,2473.746302343228,2495.7004397798005,2504.6987238187767,2514.3662149408306,2524.8132153418037,2532.0955783497857,2527.065257769083,2556.994077439512,2564.089412632074,2562.7574654635328,2536.267211688917,2533.9745504240277,2549.5053752134727,2560.0778868477537,2575.648416617419,2588.247405360423,2603.8692584114888,2609.7253093420027,2620.5010146658396,2621.9385663979756,2616.2310891895654,2612.378894174843,2610.610054383791,2617.876973190484,2638.7886935632882,2664.0584432553237,2685.448084322943,2695.4871660596978,2706.983763006431,2708.15960832696,2700.45843606431,2680.6266062558225,2694.123520155128,2701.9960638411803,2726.919776129084,2730.0753259879766,2741.5699659390357,2758.8380183921977,2774.1267957236428,2795.94347705819,2802.6124197015342,2815.48039914746,2820.1539246629486,2831.120799796561,2814.5839653222847,2841.5284444482377,2848.1072406551284,2895.1545652883383,2918.410274128574,2970.454843249489,3010.9786135816225,3027.4681047456697,3046.2436347913194,3055.7467588515515,3077.4089535334133,3070.4661091025646,3078.9904380023004,3073.2217178702836,3109.1958787050103,3152.7548663265297,3225.9450798288212,3267.95674069334,3308.8988831112815,3317.3837807768755,3336.4998356040505,3360.4787459983427,3385.5560758359734,3392.534620347497,3374.741285975872,3360.5543226943737,3358.879966894355,3362.3668299055794,3404.6478991649424,3469.2183025474483,3537.6071905049876,3561.690461039665,3572.459320185306,3572.374775445702,3578.5172930270596,3562.667720961551,3530.6723300372696,3514.515134725427,3534.048421361665
753899,2,"Los Angeles, CA",msa,CA,2524.0684820415545,2538.4124627956626,2556.6359210625983,2568.945938064477,2589.977468565233,2608.9327406659986,2630.635796908283,2642.5885508669057,2650.5849118139354,2652.731975444828,2650.685164642199,2657.575425377781,2672.216946414335,2691.6731265575836,2712.306708961268,2725.4918075123364,2747.8562546303106,2763.6251313102557,2775.466609474851,2778.5683717831166,2778.567886902359,2775.0821721022567,2768.8139924415063,2762.079736050286,2786.8075401436204,2810.242161432007,2846.7871529568856,2866.284645778099,2892.146837540243,2904.839051876247,2913.921141434099,2914.622687628749,2920.048032408903,2918.9985121593004,2927.4272239753946,2926.2260992010106,2940.4485799904596,2953.6910478041887,2979.9336901628326,3001.180622604795,3019.6711916537097,3032.237717391776,3042.3611979352145,3043.4894123273452,3047.078385965528,3050.3332219791137,3066.6147950035297,3073.985810165901,3088.1820303429345,3089.744927245944,3115.444939831576,3127.378933728155,3156.9406577209347,3163.887988502179,3174.4492693034813,3168.9656513262353,3170.1058772684514,3170.144677000963,3177.341468986038,3185.130986001471,3200.440149048245,3212.721098312589,3217.2062632658367,3204.8520004344,3204.660352936946,3216.505101938211,3249.030826567649,3263.710232612715,3280.4665886028465,3292.8888492541246,3316.9820100702236,3331.7799153904966,3348.616060493951,3368.5006880692004,3401.2119867149686,3432.0846646164377,3462.118293612619,3496.972292262007,3526.013368836779,3569.0738501483597,3607.9668862124804,3641.5050847717243,3671.941279830475,3697.1106997002917,3736.4710657387386,3774.209214907801,3817.518401507017,3859.1116181196226,3900.0572347565712,3937.8008961187484,3963.7330522839075,3971.3442616447837,3970.3208986690997,3977.183965401904,3989.319561703797,3988.368957391955,3992.5400537982805,4005.940744887883,4032.4216396327274,4066.0379008601976,4078.4811753325253,4111.805964018846,4131.030135691562,4157.7508562638095,4151.984392191477,4141.987820092532,4138.2999938210005,4142.881886532922
394463,3,"Chicago, IL",msa,IL,1496.9764777535845,1503.4655278720197,1514.3052996080012,1526.466724872301,1539.744672000933,1547.8277111962295,1551.4008182727255,1550.030416156026,1544.0546291934454,1537.6035026044226,1536.0685103987616,1540.41061298437,1544.2937714397556,1551.0950100665395,1562.3494177813645,1573.4476626647943,1582.228067033482,1586.3363812256725,1590.0057311453725,1597.4819585251087,1593.6851150000339,1586.9150585831778,1570.2205164342477,1558.5851747565284,1565.7093314669607,1578.1809241432532,1599.4967526714088,1612.050270560983,1625.5296099549869,1631.2556932093169,1633.406422831722,1629.5590381539826,1626.3866451585423,1616.430430238272,1611.5220433983154,1609.0111051015513,1615.3414958152655,1624.6645267756585,1637.5291567830043,1651.404581174905,1659.658803252641,1665.6229887957213,1668.0821812897705,1668.3546920168785,1667.0441953224706,1661.281032406346,1659.5683560230516,1655.1073846428637,1661.5660611477235,1665.9255122134978,1680.3514176725596,1689.8451242196795,1701.3915197560432,1708.3233707084073,1712.7643283278362,1713.8817767383698,1713.6230605694343,1710.8133562312807,1708.7153600841941,1704.238621134465,1707.6603054665595,1715.5760671534424,1728.7192580872852,1734.6521086477821,1739.4284096086094,1744.4739394352207,1752.830881828713,1760.5918120275915,1758.6364058035354,1754.77786601749,1753.0609695242865,1760.6678012240038,1776.809578192306,1793.1248981157526,1805.1330836477284,1821.9656528715975,1839.1338123248117,1865.560498688153,1882.691021742669,1897.9247458578782,1911.1078781692418,1920.610885472413,1928.7479614456327,1937.7059680730808,1944.9229172908201,1954.6652060588783,1971.551162168638,1997.1361888366494,2025.6139298379587,2044.5937886569895,2062.470560989335,2076.8260802367204,2078.8164346639314,2081.864763929702,2072.527749729151,2082.8335097765334,2086.794863583092,2101.9173800465824,2114.413045183224,2136.2192874378457,2154.289989431652,2172.5818874942356,2186.0804981899714,2202.9043305991513,2216.0659811830433,2217.0963337492135,2215.2687119956527,2222.2169448286463
394514,4,"Dallas, TX",msa,TX,1364.6775908951988,1372.3108964829398,1382.3249286214295,1395.6968370841555,1409.0741419445203,1419.9259345820076,1429.3158824060924,1432.8189113067745,1432.848015096449,1432.392133484782,1433.8717697497775,1437.0081889715696,1439.59651829436,1446.5238024139455,1457.1280413241918,1470.3718763870395,1480.9818180769337,1489.6450501511756,1494.526979042586,1497.3726405932916,1496.3421923616759,1494.0976567528655,1492.3882410511255,1492.6155336254842,1501.042602610877,1511.0212784555442,1525.223619115197,1537.1677018593193,1550.6170912716718,1558.4890649213341,1563.2694062830717,1565.1976356937396,1564.6431928407824,1564.9344696885926,1564.38679476243,1568.7469417812997,1573.078348073372,1581.5363900395432,1588.651406050712,1600.2345123773307,1607.4398983266972,1618.0134553445062,1619.8610113499376,1622.7670279011495,1623.2481000720275,1624.250483410425,1623.0933077352856,1623.5206955483893,1629.0297625208575,1637.60855470334,1647.726101054632,1659.0003155799618,1670.4651207451197,1677.1178318203315,1679.456377672809,1680.8772505099903,1681.0155605741443,1683.4852045367263,1682.6369627680967,1682.6532377203494,1685.486945781577,1693.8484609269879,1704.3261445325757,1708.3915570275294,1713.70386570826,1722.0006932858532,1734.0330573658332,1744.3512736306411,1753.1134600886214,1765.0406183002353,1774.300382178868,1785.2361632588706,1797.503251621737,1811.6161448431453,1829.8512699632859,1850.4897315098901,1881.3045659669658,1910.2570693368243,1940.4227592384996,1966.4457726341875,1992.023503935374,2014.3201584531453,2025.498727808126,2034.436544283956,2043.3577829928715,2061.5871199370904,2083.007595059613,2108.602270071417,2137.389375532361,2164.6590607460344,2182.125257479691,2192.9843452642094,2198.4331558521676,2204.8386840827143,2206.1176415567893,2210.1468690717616,2212.978178404191,2221.2014902400856,2229.9737028500726,2240.9242282977057,2254.6585115608223,2268.8132448709334,2281.4006035744474,2286.273045702451,2285.8635420673495,2276.0967369180808,2278.471074243615,2275.470403924097
394692,5,"Houston, TX",msa,TX,1473.959843141346,1481.0480182244703,1489.44085725936,1503.2619438141662,1513.7447286505678,1524.5409962179717,1526.8389529530841,1526.6378224443297,1519.6583406110142,1514.9282772081433,1511.8954402687493,1509.9655115142489,1511.7659543029251,1511.1261029173845,1514.5277751286367,1517.4694028443994,1523.1104211987663,1526.506646334913,1525.1037152704687,1519.280600562644,1509.455341474589,1496.7713314949228,1482.3625924877626,1474.3745306356982,1484.1982735716556,1500.88639036168,1519.211392859072,1527.2632860051735,1536.0839036793943,1540.5074199218418,1541.5380851773068,1540.0223828350706,1546.2954410887835,1553.6949407827108,1560.3790388710445,1559.570136872398,1563.4577875023829,1567.4582876071604,1573.9848049302263,1577.7747077836357,1584.2743616809203,1591.5623943117102,1592.2234567556186,1591.6058546954914,1588.4072396168956,1586.5320180150625,1583.5276540485102,1582.7966224879272,1585.9355107919828,1592.5816924074668,1601.135175203128,1611.058279386713,1619.7464412905556,1626.3787472551057,1627.423434260994,1625.716822549644,1624.4084045595926,1624.7681312769353,1625.4542748087551,1624.9640800943562,1629.6428077543587,1635.2030981779028,1642.5135650629372,1642.1364802258188,1645.5678575816064,1648.8713951410969,1659.8647779019404,1669.19158114215,1678.813150242087,1686.054713743127,1692.4392696785526,1700.8051242929473,1711.0651513011699,1721.5571919883205,1735.0541412178634,1750.5523323784882,1771.9233667521717,1792.199348664392,1804.6623036336966,1819.2073138329708,1830.382915887637,1849.0897842665477,1856.3266104082309,1866.2334249186904,1872.1634600771251,1889.3914867075218,1898.706246361418,1915.0745084669732,1928.5463481730367,1951.653000322541,1965.7511841576131,1975.602215337409,1975.3125516637158,1980.6246807798072,1972.4782758390959,1974.7542910289521,1971.8793790498178,1987.5947987533148,1997.6291894701667,2010.6492024366623,2022.1590523378698,2034.7753518491584,2050.0419563301157,2056.28754892908,2058.9025945003136,2053.109153015966,2046.2587693550156,2041.4580123274427
395209,6,"Washington, DC",msa,VA,2039.5392693263318,2055.2271424770443,2074.0693764413177,2084.441780322967,2091.040230662711,2100.4933976991497,2105.411678315826,2102.461341064861,2098.3508641952158,2091.6731899658002,2089.663971356313,2085.0872156186433,2090.3837242913305,2099.644109668261,2110.9910962980543,2119.4123281306074,2131.361553929573,2141.8449469905872,2150.538453493411,2149.4141884594796,2140.116893583285,2126.752276105753,2117.00512405938,2112.3354918172286,2120.474268743009,2137.039211486977,2159.771180597809,2174.862734541801,2183.6437570418448,2189.444537786515,2193.8495844112276,2190.560943518805,2188.8522567145087,2178.5840187705503,2175.1053661101882,2175.1073579195327,2184.1055675168764,2193.8668446786223,2207.0307097523,2222.855995886483,2234.548648048062,2241.1840955412586,2244.9290218573674,2246.2347595376496,2240.8676210895483,2233.353216126061,2234.3998584159076,2237.75824405493,2243.5470409754817,2252.935681769621,2268.9630451540247,2284.6940851633044,2295.5569610852285,2303.358509484678,2307.968665350931,2310.6665991165746,2310.7486269499354,2304.2773118964137,2300.189013161096,2292.132552014634,2306.8079827339657,2317.169278255242,2336.9690926237317,2343.165794127715,2351.838546718992,2358.0319710167037,2364.9799365702,2373.9441312539425,2381.081801042897,2378.511637136528,2377.133397645196,2373.5967624933546,2385.1589156054993,2392.5748294082273,2411.4539634008315,2433.135228234971,2461.0970962191295,2486.190163336546,2505.3670749658986,2525.035716937714,2536.9948163757026,2549.749850605018,2550.8487710464187,2554.29711270854,2559.3336611875425,2581.3590266778274,2611.5683603786065,2647.6043938129164,2670.5648526225295,2688.6404468904343,2700.798752745472,2711.8804421504406,2719.875210245437,2722.2369459815795,2727.2560908349124,2731.9903128170945,2731.504953757559,2739.3244596635836,2752.3639767207815,2775.93500919484,2798.720692779653,2825.427706495306,2849.524782236204,2866.9214108827578,2870.8442706325477,2872.9102737730327,2877.803133615566,2872.743143294787
394974,7,"Philadelphia, PA",msa,PA,1328.149742837315,1335.8270035606163,1346.4275969203463,1354.677788273196,1360.9166621208583,1363.2146920321472,1365.7051066154654,1366.560295517022,1368.5976716012735,1369.6495040876662,1363.1973531862398,1359.9374916204697,1359.6289364961783,1370.7799723246005,1381.169074730341,1392.4524058750133,1398.1411805610626,1405.4664835701303,1407.9681153121928,1408.812174633334,1403.3510894205494,1396.1925425229074,1398.5100898413336,1398.6232064856074,1408.3606385528026,1413.780526617385,1428.5441249754474,1436.233764570031,1441.7911152075583,1442.0305963033297,1443.6689209150009,1446.7018494064334,1450.3257688723072,1452.020949078132,1452.6843135309541,1454.592984908067,1455.469827662645,1462.0099712537983,1473.3765310134804,1486.4699705565022,1496.116840945784,1498.9485091850158,1497.4694695021979,1495.0149587937383,1497.1152898294415,1502.5534043160912,1505.7553936326806,1505.9154003821966,1508.8688935050327,1516.6592727016105,1526.5735943858804,1537.0355906440996,1545.0195802319295,1552.4148134292686,1555.100693413177,1555.979240696654,1555.881487275386,1560.2315721886891,1563.038474303527,1568.427607914641,1570.756698265469,1579.3662611759826,1585.0837078544184,1588.2594691017368,1591.5126296291783,1598.5198978123958,1611.794892353046,1619.7504593172252,1630.2573846673622,1635.1099845657423,1645.760140153197,1653.192658974016,1664.088624789472,1673.513697056156,1681.5286121548431,1696.4694155730251,1713.5314334996938,1729.8352955410442,1742.4576754165557,1756.0588063173034,1769.8593524405399,1782.0866020623057,1794.8362854082784,1808.063296682383,1821.2020723995845,1829.0381155230953,1840.5228487496377,1854.233254169071,1870.891022922755,1887.7522302349155,1904.5990878495522,1919.657781803071,1928.720071188248,1929.3251112257087,1934.1334700121088,1931.304763311431,1936.3071442885266,1944.8325435810418,1958.29580539775,1972.80091644869,1979.0209546521808,1990.3054786354119,1999.5605632963022,2008.6801917244957,2023.238093373014,2039.4199894177518,2050.670426503781,2048.5439074732717
394856,8,"Miami, FL",msa,FL,1736.8670056415888,1744.0446869150162,1754.497314395999,1764.6081730851517,1774.6224577805178,1784.1985200306935,1796.6460034326421,1804.5999908048952,1816.7441899446467,1824.2680490475373,1834.9721784733474,1839.5830417647903,1847.9017584810451,1850.126601257163,1854.5140566362697,1857.8131501955172,1865.6281065607254,1869.275512449705,1871.8424372340173,1876.9132521537888,1883.2399112230185,1887.5625527667946,1892.827094391452,1893.8448654166452,1898.1850979109925,1903.4654711195883,1913.071784160389,1918.4969322827915,1922.4478959957667,1930.6147838592212,1941.6751644237415,1951.2418826579276,1955.6527489695163,1961.623269470295,1965.0688985994866,1970.5644585877274,1974.177117448822,1980.4749487766442,1988.052127669715,1997.8304908176042,2004.2081909115973,2008.2231387807408,2015.3604691932478,2024.1408947071998,2032.1628669835322,2039.6651259949908,2045.28216243918,2048.2460278506933,2047.475344153078,2053.1430235582698,2063.606559322656,2071.7721750846626,2077.1175253420056,2083.325452909044,2091.2920984499715,2098.707655517909,2108.104173609969,2121.4428205748754,2134.3359348172276,2139.508875134643,2135.7870143843184,2142.9507471835973,2145.7434693954765,2149.1447357880566,2145.086343346689,2162.065459710401,2186.1191808408576,2205.3223520158217,2227.433746195016,2263.1669784586825,2302.4284090171464,2326.571893619323,2328.2617537327965,2339.220998614852,2352.261489275088,2386.1726700564723,2441.40362582368,2504.6913118383313,2570.7323719820874,2623.0011433214377,2696.1710123808707,2745.7178314278954,2813.5700819270446,2865.5147318852682,2935.9379389813016,2970.8315769865553,3020.427373231002,3072.690470984456,3144.290139688427,3191.9819657623984,3229.0480853559543,3251.3448592283926,3253.3143096265335,3261.215613489128,3272.357692157929,3278.275132939021,3268.4765329167267,3252.3534732957432,3257.5063232242815,3285.68953047102,3313.2482169482128,3345.2073566443255,3357.5241532464943,3375.667300332814,3393.064165729581,3411.0346933294613,3419.857977243211,3400.7767208250843
394347,9,"Atlanta, GA",msa,GA,1098.2712378765264,1104.7603931040683,1108.3990057094954,1119.101865003618,1127.0924025699123,1138.7090389347175,1145.4270708892789,1149.4235028889486,1150.3344143490103,1149.3782188742077,1147.8916049313993,1150.3996966534055,1156.5948547596183,1166.7758440891337,1175.575086257506,1185.0656804784285,1194.1366581249993,1203.4234093666357,1210.0031231704752,1215.0024060845544,1215.789960951594,1216.0142820658293,1215.7016967791187,1217.778675348104,1221.220687549848,1230.0770971830514,1241.8759373274984,1255.4968236660557,1267.1464443987281,1276.765296119369,1286.1372381416347,1289.7527811568555,1292.3957159039303,1290.288020452621,1294.4545657637368,1296.7431324634617,1303.3831949664832,1309.7875157404396,1321.9738665018874,1334.287287335602,1346.4929251732294,1354.362571868974,1358.978373389633,1360.362245799995,1362.9118249539426,1368.6092723446352,1374.649595292927,1379.3415853137976,1384.0812396493711,1391.7858263119138,1404.5340952326003,1418.0217793846678,1429.152052195089,1439.6770692664854,1444.082898768442,1447.0241903366382,1449.242361156495,1452.5684201356862,1456.7624404993933,1459.362258957468,1464.4915567286869,1474.1728240278997,1485.7603885725018,1497.7650560692402,1509.167455121822,1521.2715174074506,1535.842179482325,1552.4051389729316,1569.3499579638988,1584.0781795888395,1596.0795703751537,1608.0676482880351,1623.1508303933542,1645.4233824972346,1669.440070558888,1700.2755821320306,1726.4738211358456,1759.2912491393847,1784.9446306130662,1818.9118859028777,1842.160457255615,1867.0885913461746,1879.2748416415293,1889.0805150521344,1896.6347490828186,1907.2860446650852,1925.113999623327,1939.874295850791,1958.4411660059834,1981.3797105901945,2010.040771889979,2031.68229426064,2043.2553573114394,2048.544746549153,2046.8941748829839,2057.749287015376,2062.0702934280625,2072.112267761812,2075.3873201619053,2086.0591805819668,2094.029006075375,2096.908023152251,2100.912899141715,2107.746677155165,2110.8848721020104,2103.9873242078443,2095.117174895123,2095.5642075182127
