RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
394943,22,"Orlando, FL",msa,FL,114366.31560754184,114679.06394041832,115048.58398290508,115729.89784553688,116411.42184068896,117085.1572387744,117751.00326742513,118433.4913086732,119151.36644800506,119955.17621110882,120762.71589111516,121519.1165377252,122169.09582111404,122763.19414861106,123370.16862813996,124080.40645364871,124906.70113898134,125756.4083425106,126571.72247123564,127385.21688276871,128173.99568620443,129033.23559017431,129890.4492725091,130704.8756745038,131439.46310093152,132119.30122273692,132869.60227639144,133650.97415350753,134489.12143320145,135373.19941179387,136235.25503330329,137105.3522709657,137911.47792045373,138802.15664509236,139681.25589717296,140518.58364808778,141278.39211006064,142049.90855462512,142960.8927858479,143968.98853797824,145015.18700007195,146037.89277011433,147046.40392295964,148062.50197056864,149037.44511772526,150076.76550047984,151207.50611264232,152428.666061464,153620.26854081775,154813.12246002996,155964.22048683508,157288.71884429432,158867.32707925342,160859.66465877224,163136.86122276253,165715.4412789372,168257.1246940214,170836.0005529763,173206.0612692161,175546.92353140164,177987.52567212214,180688.05083319277,183998.9836859489,188098.80663891105,192831.00635401512,198196.4327045374,203945.5427333206,209914.4064633102,215567.75613287615,220609.7867840248,225646.209707132,230842.4925496826,235964.1257759642,240665.8644730621,245256.3433120991,250032.384003944,254544.6879285068,258214.71492398312,260779.6056317452,262186.14880898065,262455.498526244,262450.32400494214,261934.90755458103,261405.86641163708,259992.19990848383,258930.53279189844,257905.56210984863,257548.1238931947,257119.9822195537,256127.9893534564,254214.7068058272,251606.7391489083,248855.8758443046,245700.633934894,242580.73883550256,238836.73775336368,235406.72114977185,231000.2182837384,226550.10305750044,221641.1567099736,216447.76379222257,211444.25409977205,206812.9237841414,202596.54831195608,198622.6994748098,194391.2276847025,189423.9660395597,183941.33316969647,177896.73365081075,172843.3341489321,168933.43281100338,165447.73828935227,162393.84438781216,158966.8869640217,156250.32215125478,153455.013756384,150740.36677659396,148133.88659319715,146429.86173585808,145481.4278320961,144383.92792281692,143245.24842003745,142110.52223082076,141380.60314742886,140618.5922382259,139767.6480573144,138795.03161525077,137637.52674517312,136269.37226641423,135072.97073850333,133686.14552044097,132118.59859540724,130514.59028298018,129043.5865254611,127558.81529084938,126018.85619010782,124644.88131357804,123641.37576843772,122727.1108194484,122072.92620441785,121501.8633849752,121187.4281060428,120937.69005849854,120925.56413314422,121210.4408859846,121666.87847847964,122110.01164751333,122538.24320674378,123059.57299147188,123857.60590479671,124686.67621277104,125549.15862432103,126627.20753532334,127910.36088864037,129299.95021623188,130831.96424294476,132514.40007368466,134304.97545951445,136083.0754488612,138007.19185429302,140277.4166191043,142638.09454279477,144896.59380004546,147143.67249735046,149513.15678854904,151979.7121687151,154010.89242307332,155839.0672296574,157636.307391645,159671.28854556233,161417.14505555612,162790.23206511207,163928.9432139829,164923.95026031588,165918.9790538251,166853.111729703,167920.53380712742,168767.44982930226,169680.13253824532,170621.6251623498,171785.57085652972,172852.6611348421,173765.07377325182,174662.7915539328,175626.8565332573,176576.72056521746,177594.92091877895,178766.1942053144,180258.28419638652,181862.9157627957,183276.14176182545,184496.7514373421,185740.521767723,187140.19620448624,188337.1463541206,189589.40729487804,190790.9731804552,192250.70708218645,193487.25495422143,194851.4664853981,196413.63925146929,198033.63700647387,199362.3423296824,200442.13503485103,201528.9756775303,202797.9506542934,204212.69079949905,205830.3541933664,207401.41563651568,209088.76600564524,210603.84621404405,212189.4183762249,213716.6323247084,215322.79945026597,216806.1583890468,218287.329293821,219700.23801916765,221179.6622443638,222774.8200986063,224440.2346791976,226116.52266680507,227467.50861154715,228874.98843147475,230284.4333296495,231806.7786532488,233178.12283521608,234464.79223079173,235787.4981424379,237239.98064893775,238954.20831138847,240436.0143623024,241501.79586561208,242190.9095739324,242871.95937031455,243593.2413300801,244295.0622984392,244979.2869057448,245806.37870947388,246937.3552428233,248360.3494331629,250092.6896674746,251784.6074315164,253400.06822550637,254646.24876706864,255260.1511448905,255596.16916294623,256157.54332715928,257620.87222011443,259862.86801976257,262497.6715750072,265458.61228576174,268320.31631273404,271318.1668062223,274374.5457101343,277740.70838901354,281424.7017315117,285774.9611225387,291073.2065683237,296148.84677477553,300634.2687976817,304229.96633780753,308298.0077609191,313135.6270886084,318622.4195155098,325521.3993088741,333510.64626379573,342713.4666048717,352269.5915002133,361337.85946255614,369479.7022016784,375148.43005898426,378181.45467763767,378790.3823449475,378419.736679434,377766.0422170868,376780.1593490375,375428.8931063986,374246.64843551,373879.44125603774,374242.1966252629,375285.2515773704,376795.5348203419,378552.56561484816,380278.0663828576,381631.2333354361,382780.9990252473,383772.2892963504,384720.4543458687
394943,22,"Orlando, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327.379319642137,1332.9508688201947,1341.1965132157802,1352.2739077481872,1364.612613440161,1375.7206013750344,1383.9767982036165,1387.0799866817945,1389.6869041289858,1391.0123304664105,1393.524620175877,1395.1274433041096,1398.96241009712,1403.8896913835067,1411.5043240706595,1420.9486267816865,1431.6697175912957,1439.0157172315548,1446.6170665339944,1453.47762414021,1456.3467605243263,1456.0659217975704,1451.355624668783,1449.7475864765754,1457.496431923012,1470.4612438252425,1477.256756725326,1487.1474748357073,1498.121133334214,1518.0065865281613,1525.9972216132735,1530.859568821651,1533.938486898966,1533.8225381654552,1537.3567807015586,1544.519330814849,1553.6589571584502,1561.68026725803,1568.7611429507904,1575.4829431993878,1588.3589851052022,1601.2196034636163,1612.9659604292965,1617.7266977438248,1618.664471371636,1623.1811556656803,1625.645509055362,1631.255315697559,1637.815060103189,1646.4743497194606,1656.7385861296552,1669.5640760513236,1678.350037542106,1686.8002029662823,1689.6311125472505,1693.4018082201378,1697.7110943418052,1696.7617519232642,1697.008445190624,1692.6757236965957,1697.0344784589256,1705.5151631013669,1717.1631824139808,1720.8864893543291,1724.1679741661376,1729.4455082754516,1741.5355740520968,1752.3459385045248,1760.7959372576572,1765.3370677024866,1773.0249150186362,1781.5142227341275,1797.3205271390505,1808.827666111082,1825.763732538276,1847.829864355922,1881.060634255,1918.274322730764,1957.719418379242,1999.705035633603,2040.216820877583,2074.8742472948315,2095.3066889274523,2115.558951738157,2135.488893205242,2165.9040280014187,2197.4892091089005,2230.769649204597,2267.7170534518045,2304.4179655234443,2334.649453495233,2344.914763901265,2339.777290287818,2336.192690160658,2332.03605141645,2323.150429115446,2316.5331460442844,2324.3436911660265,2342.2523560808336,2359.230272984716,2373.0568998212243,2391.740147296518,2404.0513057685203,2417.178030358962,2416.1406564588515,2413.6158302959197,2405.007478155626,2400.3369834805494
394943,22,"Orlando, FL",msa,FL,122179.35747661082,122512.07423612748,122910.15107815752,123649.5033264043,124395.42725789378,125133.3129005514,125853.17239385146,126593.25174054196,127365.76342219586,128239.3349190807,129119.5268499892,129936.13033389785,130629.41403379936,131254.10746305456,131897.88963869316,132648.10187477732,133517.6375961935,134421.27862589885,135306.16645803957,136195.18628736082,137054.25284919818,137976.13794720368,138891.21242974157,139744.98919862518,140499.39595544952,141197.773120557,141986.3602884853,142812.81181918574,143707.20018186083,144647.6913714814,145566.63002759658,146474.97802522665,147303.72003765483,148228.8455494008,149149.5095332838,150018.93434618323,150800.85615570887,151599.4528249988,152576.7349194984,153663.27608629878,154783.06583909635,155866.7143272294,156925.32667703004,158004.2024695491,159048.8865565236,160173.39653574512,161391.04101562544,162689.51045493796,163948.87094929002,165213.0751695319,166432.62323776717,167838.58095809448,169518.60981747988,171650.1082775064,174098.36911052922,176873.285263087,179612.0790977393,182378.8070869596,184907.08630033644,187383.5082355434,189971.60402884064,192827.30925472855,196340.7087742393,200702.8157700892,205769.40581138316,211544.59567310187,217753.5656386622,224201.28336740728,230299.34573031208,235725.8682064145,241133.88310964016,246716.84319633056,252191.1554657401,257193.42421364688,262056.40409122533,267113.56941789883,271891.73625656083,275739.45303323626,278387.22016738914,279772.765412869,279934.7944604719,279812.3659021,279127.9643658958,278439.12245955586,276807.67341735965,275567.2401384662,274383.38742776244,273910.03200073686,273385.9390936343,272256.15547581017,270151.3474710542,267305.9512621346,264314.96454665135,260902.5394245542,257532.90933885807,253503.8975064937,249795.43336118292,245064.61984116415,240289.4443949505,235064.62005004263,229549.9116673773,224254.80425821597,219363.08995779464,214920.20113111133,210719.8101342304,206244.96044666477,201001.2970984732,195241.01339554857,188892.2382755458,183613.88190935217,179563.68290734617,175970.18590584412,172828.55702432783,169302.14778019703,166551.34847895324,163726.97974640294,160975.3994802074,158321.60597470895,156622.14640454634,155732.05970410988,154676.02068113675,153559.65633603255,152429.77405753575,151718.08846527358,150956.88598392697,150101.91205218257,149098.35926286926,147878.9423048275,146408.1063007659,145144.32404035766,143666.64114737677,141996.74780127316,140259.85782960907,138670.49121179013,137079.5589585685,135445.41024643654,133987.06963451055,132903.4904950883,131911.97514953738,131180.82749921057,130541.4654697907,130155.31715505074,129857.59170649212,129814.11141316414,130099.37044319138,130565.04800839056,131020.37195064298,131460.46044760782,131973.71652780485,132772.6894668753,133593.7858872719,134465.32922446495,135561.32494078483,136862.30360275286,138278.6997358641,139838.74651794072,141558.940069957,143390.33609608916,145207.7554578985,147177.71073153094,149507.00819419106,151954.79034999266,154314.602072396,156677.0154184351,159155.03587171214,161721.22394457491,163830.0334742743,165725.19916240757,167602.6507815521,169703.7506461857,171513.79578177357,172923.96383121648,174099.73639623274,175107.6835714887,176107.29301254,177059.52238548655,178156.67982312312,179036.095658212,179984.86508757438,180975.21416458592,182212.88164106084,183352.06161698897,184350.3450621999,185323.6398255613,186369.0573824786,187381.81327059443,188454.6880292169,189665.17793109608,191202.17447968223,192849.7262136525,194304.72610234132,195547.34616663915,196836.5301153948,198264.82326864087,199464.82124187736,200705.94216712195,201936.79071772928,203450.72716870008,204737.92892605375,206123.6811201216,207708.74268897783,209352.6188522575,210698.01535650436,211794.63192201228,212898.8867575857,214198.02493239616,215640.55446655035,217298.66446987927,218898.1883950338,220597.83361081828,222079.5474526916,223621.50234203483,225128.47395556688,226726.061070011,228199.18655062155,229663.06894823717,231089.0981362469,232596.5846516708,234209.0320817953,235874.55954388343,237551.384625431,238909.05556421916,240322.6912961273,241737.76559551372,243266.30914590883,244627.7121304872,245877.0680819764,247159.84242638716,248591.0558312677,250323.565683214,251823.1972687035,252885.25570937223,253546.42017484,254210.28370742663,254928.8341431542,255635.24258633403,256318.18125399423,257148.4897701401,258296.0738580212,259751.1880213341,261521.7513971165,263256.0073470128,264914.3588316803,266196.32391596725,266819.58326750284,267159.62938944035,267752.4718381095,269315.9543120106,271714.2900168057,274527.5008390029,277660.81331958406,280684.4224268706,283851.5096504793,287102.07966093294,290673.02586460183,294580.8613047418,299208.27535980655,304813.1460926188,310184.65483663493,314903.6431638281,318699.12881408306,322957.76378800586,328015.002895936,333750.4934166649,340943.8450856035,349248.09602170135,358818.218630276,368750.1721429987,378171.1750915609,386565.9771016301,392354.5438483869,395355.674757093,395807.242667356,395271.6068451838,394473.9033891856,393401.6303271968,392010.0130252396,390844.7164447975,390566.6218280631,391029.4658369117,392170.91160476144,393736.5717856588,395507.7670312736,397215.53102191415,398544.48047734826,399709.0027958899,400729.286858682,401713.70635375706
